Name,Title,URL
15/12-13 A,FactMaps URL,https://factmaps.npd.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=4754
15/12-13 A,FactPage URL,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=4754
15/12-13 B,FactMaps URL,https://factmaps.npd.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=4759
15/12-13 B,FactPage URL,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=4759
15/12-13 B,Press Release URL,https://www.npd.no/fakta/nyheter/Resultat-av-leteboring/2003/1512-13/
15/12-14,FactMaps URL,https://factmaps.npd.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=4845
15/12-14,FactPage URL,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=4845
15/12-14,Press Release URL,https://www.npd.no/fakta/nyheter/Resultat-av-leteboring/2003/1512-14/
15/12-15,FactMaps URL,https://factmaps.npd.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=5017
15/12-15,FactPage URL,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=5017
15/12-15,Press Release URL,https://www.npd.no/fakta/nyheter/Resultat-av-leteboring/2004/1512-15/
15/12-16 S,FactMaps URL,https://factmaps.npd.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=5271
15/12-16 S,FactPage URL,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=5271
15/12-16 S,Press Release URL,https://www.npd.no/fakta/nyheter/Resultat-av-leteboring/2006/1512-16-S/
15/12-17 A,FactMaps URL,https://factmaps.npd.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=5484
15/12-17 A,FactPage URL,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=5484
15/12-17 A,Press Release URL,http://www.npd.no/Norsk/Aktuelt/Pressemeldinger/2007/Pressemelding+7-2007+REV.htm
15/12-17 S,FactMaps URL,https://factmaps.npd.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=5442
15/12-17 S,FactPage URL,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=5442
15/12-17 S,Press Release URL,http://www.npd.no/Norsk/Aktuelt/Pressemeldinger/2007/Pressemelding+7-2007+REV.htm
15/12-18 A,FactMaps URL,https://factmaps.npd.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=5608
15/12-18 A,FactPage URL,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=5608
15/12-18 A,Press Release URL,https://www.npd.no/fakta/nyheter/Resultat-av-leteboring/2007/Oljefunn-i-Nordsjoen5/
15/12-18 S,FactMaps URL,https://factmaps.npd.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=5607
15/12-18 S,FactPage URL,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=5607
15/12-18 S,Press Release URL,https://www.npd.no/fakta/nyheter/Resultat-av-leteboring/2007/Oljefunn-i-Nordsjoen5/
15/12-19,FactMaps URL,https://factmaps.npd.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=5705
15/12-19,FactPage URL,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=5705
15/12-19,Press Release URL,https://www.npd.no/fakta/nyheter/Resultat-av-leteboring/2008/Oljefunn-i-Nordsjoen--1512-19
15/12-2,FactMaps URL,https://factmaps.npd.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=331
15/12-2,FactPage URL,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=331
15/12-20 S,FactMaps URL,https://factmaps.npd.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=5824
15/12-20 S,FactPage URL,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=5824
15/12-20 S,Press Release URL,https://www.npd.no/fakta/nyheter/Resultat-av-leteboring/2008/1512-20-S/
15/12-21,FactMaps URL,https://factmaps.npd.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=6047
15/12-21,FactPage URL,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=6047
15/12-21,Press Release URL,https://www.npd.no/fakta/nyheter/Resultat-av-leteboring/2009/1512-21
15/12-21 A,FactMaps URL,https://factmaps.npd.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=6139
15/12-21 A,FactPage URL,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=6139
15/12-21 A,Press Release URL,https://www.npd.no/fakta/nyheter/Resultat-av-leteboring/2009/1512-21-A/
15/12-22,FactMaps URL,https://factmaps.npd.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=6326
15/12-22,FactPage URL,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=6326
15/12-22,Press Release URL,https://www.npd.no/fakta/nyheter/Resultat-av-leteboring/2010/1512-22/
15/12-23,FactMaps URL,https://factmaps.npd.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=6327
15/12-23,FactPage URL,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=6327
15/12-23,Press Release URL,https://www.npd.no/fakta/nyheter/Resultat-av-leteboring/2010/1512-23-og-1512-23-A/
15/12-23 A,FactMaps URL,https://factmaps.npd.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=6404
15/12-23 A,FactPage URL,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=6404
15/12-23 A,Press Release URL,https://www.npd.no/fakta/nyheter/Resultat-av-leteboring/2010/1512-23-og-1512-23-A/
15/12-24 S,FactMaps URL,https://factmaps.npd.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=7661
15/12-24 S,FactPage URL,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=7661
15/12-24 S,Press Release URL,https://www.npd.no/fakta/nyheter/Resultat-av-leteboring/2015/1512-24-S/
15/12-3,FactMaps URL,https://factmaps.npd.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=199
15/12-3,FactPage URL,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=199
15/12-4,FactMaps URL,https://factmaps.npd.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=438
15/12-4,FactPage URL,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=438
15/12-5,FactMaps URL,https://factmaps.npd.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=113
15/12-5,FactPage URL,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=113
15/12-6 S,FactMaps URL,https://factmaps.npd.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=1524
15/12-6 S,FactPage URL,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=1524
15/12-7 S,FactMaps URL,https://factmaps.npd.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=1680
15/12-7 S,FactPage URL,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=1680
15/12-8,FactMaps URL,https://factmaps.npd.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=1778
15/12-8,FactPage URL,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=1778
15/12-8 A,FactMaps URL,https://factmaps.npd.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=1835
15/12-8 A,FactPage URL,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=1835
15/12-9 S,FactMaps URL,https://factmaps.npd.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=1978
15/12-9 S,FactPage URL,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=1978
15/2-1,FactMaps URL,https://factmaps.npd.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=308
15/2-1,FactPage URL,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=308
15/3-1 S,FactMaps URL,https://factmaps.npd.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=309
15/3-1 S,FactPage URL,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=309
15/3-10,FactMaps URL,https://factmaps.npd.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=8442
15/3-10,FactPage URL,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=8442
15/3-11,FactMaps URL,https://factmaps.npd.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=8489
15/3-11,FactPage URL,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=8489
15/3-11,Press Release URL,https://www.npd.no/fakta/nyheter/Resultat-av-leteboring/2018/153-11/
15/3-12 A,FactMaps URL,https://factmaps.npd.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=8948
15/3-12 A,FactPage URL,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=8948
15/3-12 S,FactMaps URL,https://factmaps.npd.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=8947
15/3-12 S,FactPage URL,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=8947
15/3-2,FactMaps URL,https://factmaps.npd.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=310
15/3-2,FactPage URL,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=310
15/3-2 R,FactMaps URL,https://factmaps.npd.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=311
15/3-2 R,FactPage URL,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=311
15/3-3,FactMaps URL,https://factmaps.npd.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=313
15/3-3,FactPage URL,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=313
15/3-4,FactMaps URL,https://factmaps.npd.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=314
