Well,Test type,Bottle number,Top depth,Base depth,Fluid type,Test time ,Received date,NPDID wellbore
2/5-11,DST ,DST2      ,0.0,0.0, ,1997-11-03 01:30:00,1997-12-23 00:00:00,3084
2/5-7,DST ,PT-2      ,3263.0,3287.0, ,,1991-03-06 00:00:00,25
2/6-5,DST ,DST1      ,0.0,0.0, ,1997-01-04 14:00:00,2000-04-11 00:00:00,2885
2/7-19,DST ,          ,0.0,0.0, ,2000-10-30 00:00:00,2000-10-02 00:00:00,1367
2/7-19 R,DST ,DST1      ,4711.6,4838.4, ,1990-02-16 00:00:00,1991-09-09 00:00:00,1512
2/7-20,DST ,DST 1     ,4099.5,4258.0, ,1988-06-07 00:00:00,1991-09-09 00:00:00,1062
2/7-21 S,DST ,DST1      ,4578.4,4613.4, ,1989-11-28 00:00:00,1992-08-07 00:00:00,1394
2/7-21 S,DST ,          ,4446.4,4518.6, ,1989-12-10 00:00:00,1991-09-09 00:00:00,1394
2/7-21 S,DST ,DST3      ,4308.3,4337.6, ,1989-12-30 00:00:00,1991-09-09 00:00:00,1394
2/7-22,DST ,DST1      ,4489.0,4496.0, ,1990-09-30 16:00:00,1996-04-15 00:00:00,1495
2/7-26 S,DST ,DST 1     ,4605.5,4696.9, ,1991-08-24 00:00:00,1991-09-26 00:00:00,1756
2/7-26 S,DST ,DST 2     ,4309.8,4538.4, ,1991-09-03 00:00:00,1991-09-26 00:00:00,1756
2/7-27 S,DST ,DST1      ,4484.8,4742.1, ,1992-06-01 00:00:00,1992-08-07 00:00:00,1878
2/7-31,DST ,DST1      ,0.0,0.0, ,1999-05-23 23:00:00,2000-02-14 00:00:00,3573
2/7-A-10,DST ,          ,0.0,0.0, ,1996-04-04 00:00:00,1996-04-17 00:00:00,787
2/7-A-14,DST ,          ,0.0,0.0, ,1996-03-20 00:00:00,1996-04-17 00:00:00,790
2/7-B-13,DST ,          ,0.0,0.0, ,1996-03-03 00:00:00,1996-04-15 00:00:00,816
2/7-B-15,DST ,          ,0.0,0.0, ,1996-03-10 00:00:00,1996-04-15 00:00:00,1426
2/7-D-20,DST ,          ,4090.0,4283.0, ,1996-02-23 00:00:00,1996-04-15 00:00:00,2121
2/7-D-21,DST ,          ,4337.0,4548.0, ,,1996-04-15 00:00:00,2111
2/7-D-26,DST ,          ,4331.0,4560.0, ,,1996-04-15 00:00:00,2120
2/7-D-27,DST ,          ,4505.0,4762.0, ,,1996-04-15 00:00:00,2096
2/8-14,DST ,          ,0.0,0.0, ,,,1552
